"","state_abbreviation","county","income","hispanic","white","college","density","female"
"1","AL","Autauga ",53682,2.7,75.6,20.9,91.8,51.4
"2","AL","Baldwin ",50221,4.6,83,27.7,114.6,51.2
"3","AL","Barbour ",32911,4.5,46.6,13.4,31,46.6
"4","AL","Bibb ",36447,2.1,74.5,12.1,36.8,45.9
"5","AL","Blount ",44145,8.7,87.8,12.1,88.9,50.5
"6","AL","Bullock ",32033,7.5,22.1,12.5,17.5,45.3
"7","AL","Butler ",29918,1.2,53.1,14,27,53.6
"8","AL","Calhoun ",39962,3.5,72.9,16.1,195.7,51.8
"9","AL","Chambers ",32402,2,56.8,11.8,57.4,52.3
"10","AL","Cherokee ",34907,1.5,91.6,12.8,46.9,50.2
"11","AL","Chilton ",41250,7.7,80.3,12.9,63,50.8
"12","AL","Choctaw ",33941,0.8,56.1,11.8,15.2,52.5
"13","AL","Clarke ",29357,1.3,53.1,11.2,20.9,52.8
"14","AL","Clay ",34002,3.4,79.7,9.2,23.1,50.6
"15","AL","Cleburne ",38019,2.5,92.3,9,26.7,50.4
"16","AL","Coffee ",43768,6.4,71.3,22.5,73.6,50.5
"17","AL","Colbert ",39077,2.6,78.8,17.7,91.8,51.8
"18","AL","Conecuh ",24658,1.8,51.1,8.8,15.6,51.9
"19","AL","Coosa ",37277,2.3,64.8,9.8,17.7,49.5
"20","AL","Covington ",35869,1.6,83.1,14.2,36.6,51.6
"21","AL","Crenshaw ",36275,1.7,70.6,12.7,22.8,51.1
"22","AL","Cullman ",38847,4.4,92.1,14.8,109.4,50.5
"23","AL","Dale ",44889,6.1,70.2,17,89.6,50.5
"24","AL","Dallas ",26519,1,28.5,14.2,44.8,53.7
"25","AL","DeKalb ",37851,14.2,80.6,10.7,91.5,50.7
"26","AL","Elmore ",54766,2.7,73.7,21,128.2,51.5
"27","AL","Escambia ",30687,2.1,60.6,11.7,40.5,48.8
"28","AL","Etowah ",38013,3.7,78.4,14.8,195.2,51.6
"29","AL","Fayette ",33838,1.4,85,13.2,27.5,50.5
"30","AL","Franklin ",36415,16.1,78,11,50,50.3
"31","AL","Geneva ",35625,3.6,84.1,10.4,46.6,50.8
"32","AL","Greene ",24226,1,17.9,12.8,14,52.5
"33","AL","Hale ",30051,1.3,40,12.8,24.5,52.8
"34","AL","Henry ",41650,2.6,68.4,16.6,30.8,51.8
"35","AL","Houston ",40948,3.3,67.3,19.7,175.1,52.1
"36","AL","Jackson ",37634,2.9,89.4,13,49.4,50.7
"37","AL","Jefferson ",45429,3.8,50.8,30,592.5,52.8
"38","AL","Lamar ",36028,1.4,85.8,9.5,24.1,51.2
"39","AL","Lauderdale ",42844,2.4,84.7,21.1,138.8,52.1
"40","AL","Lawrence ",38551,2.2,76.4,11.9,49.7,51.3
"41","AL","Lee ",43542,3.9,67.7,32.5,230.8,50.7
"42","AL","Limestone ",48619,5.8,77.2,22.7,147.8,49.7
"43","AL","Lowndes ",26230,1.2,25.3,14.4,15.8,52.3
"44","AL","Macon ",30724,1.5,16.2,19.6,35.2,54.2
"45","AL","Madison ",58434,4.7,65.5,38.5,417.7,51.2
"46","AL","Marengo ",35079,2.4,45.6,17.4,21.5,53.2
"47","AL","Marion ",32888,2.5,91.7,9.5,41.5,50.4
"48","AL","Marshall ",39526,12.9,82.3,15.2,164.4,50.9
"49","AL","Mobile ",43028,2.8,57.8,20.7,335.9,52.2
"50","AL","Monroe ",29203,1.2,54.7,10.6,22.5,52.6
"51","AL","Montgomery ",44790,3.4,36.3,31.5,292.5,52.6
"52","AL","Morgan ",44800,7.9,76.6,19.9,206.3,50.8
"53","AL","Perry ",28209,1.3,30.3,10.4,14.7,53.4
"54","AL","Pickens ",28741,4.1,54.7,11,22.4,50.6
"55","AL","Pike ",33090,2.2,57.1,23,48.9,51.9
"56","AL","Randolph ",35213,2.9,75,11.1,39.5,51.4
"57","AL","Russell ",36143,5,49.5,16,82.6,51.3
"58","AL","St. Clair ",50786,2.3,85.9,15.5,132.3,50.1
"59","AL","Shelby ",68770,6,78.5,40.3,248.5,51.2
"60","AL","Sumter ",22186,1.1,24.8,14.9,15.2,55
"61","AL","Talladega ",35439,2.3,63.4,13,111.7,51.4
"62","AL","Tallapoosa ",39130,2.3,68.9,16.3,58.1,51.4
"63","AL","Tuscaloosa ",45408,3.3,63.2,27,147.3,51.7
"64","AL","Walker ",37566,2.3,89.4,10.5,84.7,51.4
"65","AL","Washington ",42156,1.4,65.1,9.5,16.3,51.2
"66","AL","Wilcox ",23642,1,27.6,11.1,13.1,52.4
"67","AL","Winston ",32900,2.9,94,10.4,39.9,50.9
"68","AK","Aleutians East Borough",61250,13.2,11.5,12,0.4,30.9
"69","AK","Aleutians West Census Area",81853,14.1,26.9,13.3,1.3,32.4
"70","AK","Anchorage Municipality",77454,8.9,59.7,32.8,171.2,48.6
"71","AK","Bethel Census Area",51689,1.8,11.5,11.7,0.4,48.3
"72","AK","Bristol Bay Borough",79531,4.3,44.1,19.4,2,44.3
"73","AK","Denali Borough",72500,3.7,82.7,28.1,0.1,45.6
"74","AK","Dillingham Census Area",54150,3.1,17.6,17.8,0.3,48.6
"75","AK","Fairbanks North Star Borough",69223,7.7,71.3,29,13.3,45.9
"76","AK","Haines Borough",52866,2.5,77.5,30.1,1.1,51
"77","AK","Hoonah-Angoon Census Area",49545,5.1,47.2,26.9,0.3,46.5
"78","AK","Juneau City and Borough",81490,6.5,65.5,36.7,11.6,48.8
"79","AK","Kenai Peninsula Borough",61793,4,81.4,23.7,3.4,47.6
"80","AK","Ketchikan Gateway Borough",62519,4.9,65.2,25.4,2.8,47.9
"81","AK","Kodiak Island Borough",68718,8.7,50.8,20,2.1,46.2
"82","AK","Lake and Peninsula Borough",51786,3.2,23.6,15.4,0.1,47.1
"83","AK","Matanuska-Susitna Borough",71037,4.7,80.3,21.3,3.6,47.5
"84","AK","Nome Census Area",49974,2,16.5,17.1,0.4,47.6
"85","AK","North Slope Borough",80761,3.9,32.1,14.5,0.1,37.5
"86","AK","Northwest Arctic Borough",61607,2.1,12.1,11,0.2,45.8
"87","AK","Petersburg Borough",63934,5.6,73.6,25.7,1.2,48.2
"88","AK","Prince of Wales-Hyder Census Area",46071,3.3,45.5,15.7,1.4,45.3
"89","AK","Sitka City and Borough",69405,6,63.6,34.1,3.1,48.7
"90","AK","Skagway Municipality",71667,4.3,86.2,24.3,2.1,47.6
"91","AK","Southeast Fairbanks Census Area",56801,4.9,76.2,23.1,0.3,44.4
"92","AK","Valdez-Cordova Census Area",74878,4.7,70.7,23.9,0.3,47.3
"93","AK","Wade Hampton Census Area",40176,1.1,4.9,5.4,0.4,47.5
"94","AK","Wrangell City and Borough",45841,2.2,69.2,16.7,0.9,48.2
"95","AK","Yakutat City and Borough",72500,3.3,37.2,22.7,0.1,44.6
"96","AK","Yukon-Koyukuk Census Area",34710,2,22,9.3,0,46.3
"97","AZ","Apache ",31476,6.4,19,10.4,6.4,50.6
"98","AZ","Cochise ",45755,34.6,56.1,22.5,21.3,49.2
