"","Clinton","Sanders","county","state_abbreviation"
"x",0.75,0.25,"State House District 1","AK"
"x.1",0.833,0.166,"State House District 2","AK"
"x.2",1,0,"State House District 3","AK"
"x.3",0.842,0.157,"State House District 4","AK"
"x.4",1,0,"State House District 5","AK"
"x.5",1,0,"State House District 6","AK"
"x.6",0.75,0.25,"State House District 7","AK"
"x.7",1,0,"State House District 8","AK"
"x.8",0.8,0.2,"State House District 9","AK"
"x.9",0.8,0.2,"State House District 10","AK"
"x.10",0.818,0.181,"State House District 11","AK"
"x.11",1,0,"State House District 12","AK"
"x.12",0.714,0.285,"State House District 13","AK"
"x.13",0.692,0.307,"State House District 14","AK"
"x.14",0.888,0.111,"State House District 15","AK"
"x.15",0.8,0.2,"State House District 16","AK"
"x.16",0.714,0.285,"State House District 17","AK"
"x.17",0.777,0.222,"State House District 18","AK"
"x.18",0.666,0.333,"State House District 19","AK"
"x.19",0.666,0.333,"State House District 20","AK"
"x.20",0.666,0.333,"State House District 21","AK"
"x.21",0.785,0.214,"State House District 22","AK"
"x.22",1,0,"State House District 23","AK"
"x.23",0.666,0.333,"State House District 24","AK"
"x.24",0.733,0.266,"State House District 25","AK"
"x.25",0.714,0.285,"State House District 26","AK"
"x.26",0.764,0.235,"State House District 27","AK"
"x.27",0.736,0.263,"State House District 28","AK"
"x.28",0.8,0.2,"State House District 29","AK"
"x.29",0.777,0.222,"State House District 30","AK"
"x.30",1,0,"State House District 31","AK"
"x.31",1,0,"State House District 32","AK"
"x.32",0.84,0.16,"State House District 33","AK"
"x.33",0.777,0.222,"State House District 34","AK"
"x.34",0.777,0.222,"State House District 35","AK"
"x.35",0.833,0.166,"State House District 36","AK"
"x.36",0.785,0.214,"State House District 37","AK"
"x.37",1,0,"State House District 38","AK"
"x.38",0.764,0.235,"State House District 39","AK"
"x.39",1,0,"State House District 40","AK"
"x1",0.347,0.62,"Andover","CT"
"x.169",0.475,0.498,"Ansonia","CT"
"x.210",0.355,0.63,"Ashford","CT"
"x.310",0.578,0.406,"Avon","CT"
"x.410",0.388,0.595,"Barkhamsted","CT"
"x.510",0.344,0.619,"Beacon Falls","CT"
"x.610",0.452,0.497,"Berlin","CT"
"x.710",0.444,0.539,"Bethany","CT"
"x.810",0.46,0.522,"Bethel","CT"
"x.910",0.378,0.593,"Bethlehem","CT"
"x.1010",0.746,0.249,"Bloomfield","CT"
"x.1110",0.406,0.566,"Bolton","CT"
"x.1210",0.368,0.588,"Bozrah","CT"
"x.1310",0.484,0.501,"Branford","CT"
"x.1410",0.65,0.335,"Bridgeport","CT"
"x.1510",0.424,0.558,"Bridgewater","CT"
"x.1610",0.438,0.537,"Bristol","CT"
"x.171",0.481,0.499,"Brookfield","CT"
"x.181",0.403,0.565,"Brooklyn","CT"
"x.191",0.458,0.523,"Burlington","CT"
"x.201",0.297,0.692,"Canaan","CT"
"x.211",0.378,0.602,"Canterbury","CT"
"x.221",0.435,0.543,"Canton","CT"
"x.231",0.322,0.654,"Chaplin","CT"
"x.241",0.512,0.479,"Cheshire","CT"
"x.251",0.429,0.559,"Chester","CT"
"x.261",0.462,0.528,"Clinton","CT"
"x.271",0.384,0.6,"Colchester","CT"
"x.281",0.358,0.581,"Colebrook","CT"
"x.291",0.39,0.596,"Columbia","CT"
"x.301",0.413,0.584,"Cornwall","CT"
"x.311",0.403,0.588,"Coventry","CT"
"x.321",0.492,0.483,"Cromwell","CT"
"x.331",0.537,0.442,"Danbury","CT"
"x.341",0.695,0.303,"Darien","CT"
"x.351",0.412,0.578,"Deep River","CT"
"x.361",0.468,0.503,"Derby","CT"
"x.371",0.42,0.566,"Durham","CT"
"x.381",0.454,0.527,"East Granby","CT"
"x.391",0.409,0.573,"East Haddam","CT"
"x.40",0.4,0.583,"East Hampton","CT"
"x.41",0.556,0.419,"East Hartford","CT"
"x.42",0.492,0.48,"East Haven","CT"
"x.43",0.503,0.484,"East Lyme","CT"
"x.44",0.416,0.558,"East Windsor","CT"
"x.45",0.339,0.639,"Eastford","CT"
"x.46",0.549,0.436,"Easton","CT"
"x.47",0.43,0.558,"Ellington","CT"
"x.48",0.425,0.546,"Enfield","CT"
"x.49",0.521,0.465,"Essex","CT"
"x.50",0.593,0.399,"Fairfield","CT"
"x.51",0.495,0.486,"Farmington","CT"
"x.52",0.344,0.613,"Franklin","CT"
"x.53",0.514,0.474,"Glastonbury","CT"
"x.54",0.341,0.646,"Goshen","CT"
"x.55",0.41,0.578,"Granby","CT"
"x.56",0.681,0.306,"Greenwich","CT"
"x.57",0.357,0.601,"Griswold","CT"
"x.58",0.459,0.529,"Groton","CT"
"x.59",0.546,0.447,"Guilford","CT"
"x.60",0.41,0.566,"Haddam","CT"
"x.61",0.565,0.419,"Hamden","CT"
"x.62",0.44,0.544,"Hampton","CT"
"x.63",0.694,0.295,"Hartford","CT"
"x.64",0.307,0.681,"Hartland","CT"
"x.65",0.385,0.596,"Harwinton","CT"
"x.66",0.433,0.551,"Hebron","CT"
"x.67",0.485,0.513,"Kent","CT"
"x.68",0.351,0.624,"Killingly","CT"
"x.69",0.493,0.494,"Killingworth","CT"
"x.70",0.331,0.655,"Lebanon","CT"
"x.71",0.449,0.539,"Ledyard","CT"
"x.72",0.371,0.591,"Lisbon","CT"
"x.73",0.449,0.538,"Litchfield","CT"
